building_name,"	dong_num","	area ","	heit","		lat","	lng",radius,
경북대학교,"	14.기숙사F동","	1055.28	",19.1,"	35.88688104000903","	 128.61073233099333","	18.32774009",
경북대학교,"	12.기숙사D동","	896.27","	19.25	","35.88689129775511	",128.6099846,"	16.8905773",
경북대학교,"	9.기숙사A동","	1050.06","	13.5","	","		",18.28235431,
경북대학교,"	7.복지관","	2651.9","	17.7","	35.8891123705238	",128.6143205,"	29.05384634",
경북대학교,"	3.박물관","	1784.75","	17.8	",35.88871354,"	128.61369934723402","	23.83492331",
경북대학교,"	48.농대2호관","	1706.98","	16.5	",35.89100857,"	128.60826419566604","	23.30983933",
경북대학교,"	21.대학원동",1371.92,"	23.6","	35.88970815542612","	 128.61024955698898","	20.89726535",
경북대학교,"	5.전자계산소","	2978.27","	24.6	","	","	",30.78981625,
경북대학교,"	114.수영장	","1369.35	","11.85	",35.89023931,"	128.60587386218904	",20.87768288,
경북대학교,"	115.암석창고","	147","	5	","35.89053721100484	",128.6063401,"	6.840435167",
경북대학교,"	110.운동장스탠드(청룡관)","	3529.06","	7.2","	35.8884867604021	"," 128.60585122276018	",33.51618545,
경북대학교,"	69. 동물병원	",1201.44,"	10.75","	35.88665606514811","	 128.61380241202818","	19.55582342",
경북대학교,"	50.농대사과센터","	482.61","	8.7","	35.89089231472163","	128.6093276915403","	12.39433476",
경북대학교,"	106.온실5-2	",64.64,"	4.16","	","		",4.536028113,
경북대학교,"	104.온실4-3","	43.2","	3.91","  	","		",3.708232339,
경북대학교,"	102.온실4-1	",43.2,"	3.91","   	","		",3.708232339,
경북대학교,"	101.온실3-2	","75.6	",4.31,"	  ","		",4.905530287,
경북대학교,"	57.예술대학","	1559.42","	15.85	",35.89354838,"	 128.6112134901085	",22.2795602,
경북대학교,"	97.학생종합서비스센타","	843.12","	14.3","	35.890741900825816","	128.61180877299236	",16.38210705,
경북대학교,"	33.법과대학 및 법학전문대학원","	2453.95","	37.6	",35.88801624,"	 128.61493015344024	",27.9484623,
경북대학교,"	4.대강당","	3082.52","	27.12","	35.89277191067399","	 128.61069801508282","	31.32405769",
경북대학교,"	KNU어린이집","	693.87","	12.25","	35.89117168336727","	 128.60756472244705","	14.86155041",
경북대학교,"	30.제2합동강의동	",1440.59,"	21.1","	35.89262168740523	",128.6123699,"	21.41387492",
경북대학교, 89.취업정보센터,"	104.91","	6.95	","	","	",5.778744687,
경북대학교, 96.창업보육센타,"	561.16	","17.2	","35.88634661553772	",128.6126413,"	13.36498319",
경북대학교, 91.테니스장화장실,"	54.52","	4.05	",35.88905505,"	 128.60950982553732","	4.165843851",
경북대학교,"	90.동위원소저장고	",163.8,"	4.2","	","		",7.220745069,
경북대학교,"	88.도서관휴게실","	345.24","	8.75","	","		",10.48300077,
경북대학교,"	87.농구장화장실","	97.97","	4.05","	","		",5.584336984,
경북대학교,"	84.문예관","	258.26","	6.51","	35.89442189591051","	128.61240278629163","	9.066791671",
경북대학교,"	81.변전소","	758.32","	7.55","	35.88640080172203","	 128.61220659172423","	15.53643308",
경북대학교,"	80.농장창고	",271.8,"	6.1","	","		",9.301431452,
경북대학교,"	79.차고","	682.5","	7.47","	","		",14.73928415,
경북대학교,"	27.화학관","	1853.46","	16.95","	35.88652841985601	"," 128.6083104026226	",24.2893936,
경북대학교,"	6.종합정보센터","	890.94","	28.35","	35.89232583806465","	128.61325606240584","	16.84027939",
경북대학교,"	129. 사범대학","	1918.79","	29.9","	35.890238164241204","	128.61376143073522","	24.71375784",
경북대학교,"	125.인문한국진흥관	",2517.88,"	24.85","	35.890209144280284	","128.61068195689455	",28.31017655,
경북대학교,"	127.농업생명과학관	",2229.39,"	35.2	","35.8906950215872	","128.60947712891902	",26.63901044,
경북대학교,"	112. 향토생활관	","1267.05	",31.5,"	35.89066603292294 ","	128.6152790747292	",20.08269258,
경북대학교,"	공대10호관","	1393.84","	36.05","	35.88748491593223	","128.61271455708524	",21.06354794,
경북대학교,"	공대8호관","	1210.04","	18.15","	35.88670242422291","	 128.61166231615195	",19.62568966,
경북대학교,"	94. 학생테니스장대기실","	21","	4.2	","35.88930304111701	","128.60957032804484	",2.585441473,
경북대학교,"	47.농대1호관","	3331.58	",22.35,"	35.89097384651421","	128.609093934007","	32.56493284",
경북대학교,"	65.우당교육관","	877.68","	16.19	","35.890183053477486	","128.61514701439737	",16.71449134,
"경북대학교	","29.경상대학	","1356.08	",20.25,"	35.889137361020566	",128.6157718,"	20.77627663",
경북대학교,"	8.복현회관            ","	1304.72","	14.55	","35.89075441955456	",128.6070936,"	20.37904008",
"경북대학교	",스마트팜교육장     ,"	498.6","	7","		","	",12.5979883,
                ,"미래창직관	 	","1493.37	",27.1,"	35.88770259383361	"," 128.61062655989053	",21.80262449,
3차 BTL 생활관,"	보람관(L)	","2375.66	","30.39	",35.88602209,"	 128.60948085653177","	27.49901933",
"경북대학교	","13.기숙사E동	",876.78,"	24.25","	35.8869262605279	",128.609302,"	16.70591937",
경북대학교,"	공대7호관	",1061.15,"	16.8	",35.88732683,"	128.61068177596462	",18.37864347,
경북대학교,"	1.본관","	1485","	24.1","	35.89040879418287","	128.61204172933532","	21.74143926",
